,feedback,sentiment,label
378,"Good start: stating the two categories where performance measures lie, and then moving into the discussion of each of them",pos,
379,"You highlighted in a fair way the main factors (and limitations) of each of these performance measures, good job",pos,
380,"Before the introduction, you could have provided an executive summary and a table of contents, as in the typical (AIB) format required for reports",neg,
381,"The information below should have been provided in a proper table and discussed accordingly It's also missing in part 'A' a critical discussion of the different methods used to calculate average returns (ie, arithmetic and geometric means)",neg,
382,"In which sense? This is not necessarily true, you could have explained this point better",neutral,
383,These type of discussion is too descriptive - it's better to provide a table and let the reader realize by herself how the numbers compare to each other,neutral,
384,"Since it is more easily interpreted and given that it provides similar information, the correlation matrix would be a better table to be displayed than the covariance matrix",pos,
385,"The efficient frontier, in conjunction with the CAL and the optimal risky portfolio, is missing",neg,
386,Good discussion and use of references,pos,
387,"Yes, that's the challenge",neutral,
388,"A good discussion was carried in this section, however you relied too much on the same reference - there should more mix of sources",pos,
389,Not enough critical discussion was provided in this section,neg,
390,Wrong citation style,neg,
391,What are the implications of basis risk for investors?,neutral,
392,"Ok, this is what I was after :)",pos,
393,The information provided below should had been put in a table,neutral,
394,"Nice discussion of the performance meaures, particularly so when some of the assumptions they rely on were discussed",pos,
395,"The optimal allocation gives the best reward (expected return) for risk, not the minimum risk",pos,
396,"Highly priced in which sense? This statement is not clear Rather, the combinations of risk and return that are efficient (ie, the maximum expected return for a particular level of risk, and vice versa)",neutral,
397,"This sections falls short of providing a critical discussion of the different ways of calculating the mean (ie, arithmetic and geometric means) Rather, it relies too much on describing the numbers obtained",neg,
398,A legend should be provided for the reader to be able to identify the meaning of each column The chart needs to be properly labeled,neutral,
399,The efficient frontier should had been displayed in this section,neutral,
400,No need of  decimal places,neutral,
401,"This point was emphasized multiple times previously, and it's not the main take-away from the efficient frontier",neutral,
402,The relationship between risk and return has no implication whatsoever on the outlook for the economy,neutral,
403,"A more articulated discussion should had been provided in terms of the types of industries that give higher or lower exposure to the business cycle (ie, cyclical vs defensive stocks), and the types of economic indicators (ie, leading, lagging and coincident) based on which investors can extract information about the economy",pos,
404,"These are not all the factors that affect option prices, and missing is one which, arguably, is the most important: the volatility of the underlying asset",neg,
405,"The paragraph that follows provides a fair discussion, however the ones that follow are too descriptive - critical reflection is missing",neutral,
406,It's still not clear what are the implications of basis risk for investors,neg,
407,This section covered in a satisfactory way the different measures related to funds and managers' performance,neutral,
408,"That's to say, relative to a specific benchmark",neutral,
